Ürün ID,Stok Kodu,Barkod,Ürün Adı,Ana Kategori,Alt Kategori,Marka,Mikro Stok,Hepcazip Satış Fiyatı,Ofis26 Satış Fiyatı,Mevcut Alış Fiyatı,Mevcut Kar Marjı - Hepcazip,Mevcut Kar Marjı - Ofis26,Tedarikçi Güncel Alış Fiyatı,Güncel Kar Marjı - Hepcazip,Güncel Kar Marjı - Ofis26,Akakçe Fiyatı,Raf,Raf Adet,Kasa,Kasa Adet,Palet,Palet Adet
21393,KSK-34,8691231180975,Keskin Color Ambalaj Kağıdı Tekli Rulo 70x100 ,Kağıt Ürünleri,Ambalaj Kağıdı,Keskin Color,,,,,,,,,,,,,,,,
21394,KSK-35,8691232816679,Keskin Color Ambalaj Kağıdı Kraft Tekli Rulo 70x100 No:2,Kağıt Ürünleri,Ambalaj Kağıdı,Keskin Color,,,,,,,,,,,,,,,,
21395,KSK-36,8691234516949,Keskin Color Ambalaj Kağıdı Tekli Rulo 70x100 Baskısız,Kağıt Ürünleri,Ambalaj Kağıdı,Keskin Color,,,,,,,,,,,,,,,,
21396,KSK-37,8691231713186,Keskin Color Saplı Kutu Dosya Florasan ,Kağıt Ürünleri,Ambalaj Kağıdı,Keskin Color,,,,,,,,,,,,,,,,
21397,MAS-8,8691217038508,Mas 385 Midi Ambalaj Lastiği %80  Kauçuk 500 Gr,Masaüstü Gereçler,Ambalaj Lastiği,Mas,,,,,,,,,,,,,,,,
21398,M0395,TX9EBB557F21398,Mas 395 Geniş Ambalaj Lastiği %100 Kauçuk 500 Gr,Masaüstü Gereçler,Ambalaj Lastiği,Mas,,,,,,,,,,,,,,,,
21399,M0365,TX9EBB557F21399,Mas 365 Midi Ambalaj Lastiği %100 Kauçuk 500 Gr,Masaüstü Gereçler,Ambalaj Lastiği,Mas,,,,,,,,,,,,,,,,
21400,278100008,8691200278102,Mas 374 Ambalaj Lastiği Mini %100 Kauçuk 500 GR ,Masaüstü Gereçler,Ambalaj Lastiği,Mas,,,,,,,,,,,,,,,,
21401,M0355,TX9EBB557F21401,Mas 355 Midi Ambalaj Lastiği %100 Kauçuk 50 Gr. Kutu,Masaüstü Gereçler,Ambalaj Lastiği,Mas,,,,,,,,,,,,,,,,
21402,8060,8691200080606,Cassa % 100 Kauçuk Ambalaj Lastiği 500 Gr Geniş,Masaüstü Gereçler,Ambalaj Lastiği,Cassa,,,,,,,,,,,,,,,,
